Vértice;Este;Norte
PT_V_001;603621,18;7608706,44
PT_V_002;603666,30;7608698,62
PT_V_003;603662,67;7608612,89
PT_V_004;603483,60;7608017,64
PT_V_005;603417,09;7607986,63
PT_V_006;603437,05;7607527,08
PT_V_007;603476,46;7607495,49
PT_V_008;603412,70;7607419,95
PT_V_009;603153,43;7607304,51
PT_V_010;603093,51;7607226,05
PT_V_011;603349,07;7607041,80
PT_V_012;603440,57;7606741,91
PT_V_013;603563,01;7606687,27
PT_V_014;603784,69;7606588,33
PT_V_015;603849,85;7606525,18
PT_V_016;604006,73;7606324,33
PT_V_017;603922,46;7606168,88
PT_V_018;603910,60;7605995,33
PT_V_019;603946,29;7605861,19
PT_V_020;604026,93;7605870,34
PT_V_021;604237,79;7605793,69
PT_V_022;604429,01;7605596,96
PT_V_023;604575,59;7605374,89
PT_V_024;604672,49;7605196,49
PT_V_025;605004,27;7604977,57
PT_V_026;605006,65;7604909,12
PT_V_027;605009,11;7604797,56
PT_V_028;604907,02;7604651,76
PT_V_029;604926,79;7604614,38
PT_V_030;604846,47;7604402,61
PT_V_031;604670,57;7604157,14
PT_V_032;604704,82;7603892,47
PT_V_033;604742,03;7603890,39
PT_V_034;604795,99;7603817,48
PT_V_035;604792,40;7603775,67
PT_V_036;604832,93;7603716,17
PT_V_037;604776,77;7603674,48
PT_V_038;604777,51;7603628,92
PT_V_039;604801,34;7603614,68
PT_V_040;604824,87;7603651,71
PT_V_041;604849,28;7603637,21
PT_V_042;604859,91;7603573,68
PT_V_043;604924,11;7603539,18
PT_V_044;604918,29;7603501,13
PT_V_045;604967,01;7603489,00
PT_V_046;604938,79;7603457,33
PT_V_047;605013,20;7603443,36
PT_V_048;605032,54;7603510,16
PT_V_049;605097,95;7603524,81
PT_V_050;605140,20;7603458,07
PT_V_051;605168,10;7603027,43
PT_V_052;605213,72;7602942,21
PT_V_053;605165,24;7602581,39
PT_V_054;605195,34;7602509,43
PT_V_055;605258,27;7602413,15
PT_V_056;605049,01;7602304,74
PT_V_057;604927,54;7602292,87
PT_V_058;604902,98;7602250,38
PT_V_059;604759,49;7602219,60
PT_V_060;604645,86;7602326,24
PT_V_061;604587,24;7602329,38
PT_V_062;604346,95;7602484,47
PT_V_063;604311,89;7602533,66
PT_V_064;604205,46;7602521,76
PT_V_065;603912,10;7602699,85
PT_V_066;603762,90;7602719,43
PT_V_067;603655,38;7602827,10
PT_V_068;603403,95;7603236,47
PT_V_069;603036,11;7603483,38
PT_V_070;602769,79;7603522,93
PT_V_071;602782,96;7603656,29
PT_V_072;602755,05;7603863,58
PT_V_073;602639,62;7603986,56
PT_V_074;602769,51;7604017,55
PT_V_075;602519,71;7604115,73
PT_V_076;602423,29;7604213,19
PT_V_077;602375,75;7604412,50
PT_V_078;602329,67;7604442,93
PT_V_079;602361,33;7604516,84
PT_V_080;602423,32;7604552,39
PT_V_081;602506,02;7604549,62
PT_V_082;602587,83;7604507,71
PT_V_083;602650,00;7604569,39
PT_V_084;602758,53;7604620,13
PT_V_085;602798,73;7604758,71
PT_V_086;602733,35;7604908,79
PT_V_087;602780,78;7605117,15
PT_V_088;602762,45;7605165,11
PT_V_089;602585,43;7605200,15
PT_V_090;602398,53;7605300,21
PT_V_091;602261,81;7605687,49
PT_V_092;602149,87;7605752,04
PT_V_093;602179,13;7605827,87
PT_V_094;602087,89;7605855,76
PT_V_095;601955,59;7605987,06
PT_V_096;601707,15;7605972,75
PT_V_097;601738,96;7605894,77
PT_V_098;601661,14;7605894,78
PT_V_099;601588,44;7605789,77
PT_V_100;601598,88;7605748,60
PT_V_101;601521,49;7605777,83
PT_V_102;601521,81;7605709,40
PT_V_103;601496,02;7605772,31
PT_V_104;601520,23;7606257,27
PT_V_105;601578,26;7606344,59
PT_V_106;601534,86;7606512,87
PT_V_107;601610,53;7606824,56
PT_V_108;601558,77;7607131,17
PT_V_109;601558,33;7607429,21
PT_V_110;601323,02;7607504,48
PT_V_111;601150,77;7607500,46
PT_V_112;600909,28;7607605,62
PT_V_113;600951,93;7607752,04
PT_V_114;600858,26;7607815,42
PT_V_115;600849,40;7607875,53
PT_V_116;600819,45;7607876,94
PT_V_117;600845,89;7608017,98
PT_V_118;600770,44;7608012,83
PT_V_119;600666,80;7608108,09
PT_V_120;600508,21;7608095,59
PT_V_121;600604,84;7608295,38
PT_V_122;600828,00;7608346,75
PT_V_123;600941,19;7608333,90
PT_V_124;601198,31;7608468,76
PT_V_125;601282,87;7608499,30
PT_V_126;601449,18;7608405,34
PT_V_127;601540,87;7608417,51
PT_V_128;601773,50;7608360,67
PT_V_129;601914,38;7608206,99
PT_V_130;602068,00;7608167,34
PT_V_131;602297,86;7608014,23
PT_V_132;602450,24;7608003,76
PT_V_133;602514,35;7608209,55
PT_V_134;602578,38;7608241,76
PT_V_135;602656,86;7608423,81
PT_V_136;602984,07;7608512,95
PT_V_137;603070,11;7608487,99
PT_V_138;603090,01;7608597,53
PT_V_139;603117,54;7608570,05
PT_V_140;603152,40;7608614,86
PT_V_141;603251,65;7608621,15
PT_V_142;603269,75;7608640,04
PT_V_143;603304,05;7608628,88
PT_V_144;603367,35;7608671,46
PT_V_145;603412,64;7608657,86
PT_V_146;603446,92;7608681,46
PT_V_147;603560,39;7608679,16
