Ponto;X;Y;Distancia;Azimute;Confrontante;Divisa
PT_V_01;677367,56;7665456,07;;;;
PT_V_02;677439,22;7665412,71;;;;
PT_V_03;677492,13;7665289,91;;;;
PT_V_04;677568,44;7665181,18;;;;
PT_V_05;677655,24;7665124,9;;;;
PT_V_06;677766,84;7665087,7;;;;
PT_V_07;677878,43;7664856,88;;;;
PT_V_08;677978,85;7664768,31;;;;
PT_V_09;677416,64;7664818,12;;;;
PT_V_10;676912,68;7664716,16;;;;
PT_V_11;676959,56;7664822,62;;;;
PT_V_12;676969,33;7664925,18;;;;
PT_V_13;677043,56;7665021,87;;;;
PT_V_14;677181,19;7665092,47;;;;
PT_V_15;677267,99;7665180,22;;;;
PT_V_16;677273,71;7665328,07;;;;
